Variable,Overall__Emory,Overall__JHU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
  Lorazepam,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),<10,<10,0 (0.0%)
  Dexmedetomidine,0 (0.0%),16 (2.3%),<10,0 (0.0%),0 (0.0%),<10,<10,0 (0.0%),16 (1.1%)
  Fentanyl,<10,15 (2.2%),0 (0.0%),0 (0.0%),<10,13 (5.2%),12 (4.0%),<10,40 (3.1%)
"Neuromuscular blocking agents, n (%)",,,,,,,,,
  Cisatracurium,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
  Rocuronium,,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
"Medications during IMV (N=18,003)",,,,,,,,,
"  Vasopressors, n (%)",<10,33 (100.0%),,,,13 (100.0%),27 (100.0%),10 (100.0%),83 (100.0%)
"    Norepinephrine, n (%)",<10,31 (93.9%),,,,13 (100.0%),22 (81.5%),<10,66 (90.4%)
"      Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.08 [0.05, 0.08]","0.05 [0.04, 0.10]",,,,"0.05 [0.03, 0.08]","0.03 [0.02, 0.05]","0.07 [0.05, 0.11]","0.1 [0.0, 0.1]"
"    Epinephrine, n (%)",,<10,,,,<10,<10,<10,
"      Epinephrine dose (mcg/kg/min), median [Q1, Q3]",,"0.05 [0.01, 0.10]",,,,"0.03 [0.02, 0.04]","0.10 [0.07, 0.13]","0.00 [0.00, 0.00]","0.0 [0, 0.1]"
"    Phenylephrine, n (%)",,,,,,,<10,<10,
"      Phenylephrine dose (mcg/kg/min), median [Q1, Q3]",,,,,,,"0.45 [0.23, 0.87]","0.31 [0.08, 0.54]","0.3 [0.1, 0.9]"
"    Vasopressin, n (%)",,<10,,,,<10,<10,<10,
"    Dopamine, n (%)",,<10,,,,,<10,,
"      Dopamine dose (mcg/kg/min), median [Q1, Q3]",,"2.50 [0.62, 4.37]",,,,,"8.25 [5.50, 10.38]",,"7.1 [0.6, 10.4]"
"  Sedatives and analgesics, n (%)",,,,,,,,,
    Propofol,<10,21 (63.6%),,,,<10,10 (37.0%),<10,
    Midazolam,,15 (45.5%),,,,,<10,,15 (45.5%)
    Lorazepam,,,,,,,<10,<10,
    Dexmedetomidine,,<10,,,,<10,<10,,
    Fentanyl,<10,13 (39.4%),,,,<10,<10,<10,
"  Neuromuscular blocking agents, n (%)",,,,,,,,,
    Cisatracurium,,,,,,,,,
    Rocuronium,,,,,,,,,
Ventilator hours,69,"1,753",0,0,0,534,"1,418",93,"3,867"
