Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__Michigan,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
  Initial ventilator mode: simv,"2,621 (11.3%)","8,982 (21.5%)",572 (1.6%),41 (0.6%),"2,462 (6.4%)",480 (2.2%),117 (0.8%),,237 (1.3%),327 (1.2%),"2,632 (5.5%)","15,161 (30.7%)","33,632 (10.3%)"
  Initial ventilator mode: pressure support/cpap,"1,846 (7.9%)","1,582 (3.8%)","2,354 (6.6%)",63 (1.0%),968 (2.5%),"2,555 (11.7%)",375 (2.7%),135 (9.9%),830 (4.5%),905 (3.4%),"1,066 (2.2%)","2,584 (5.2%)","15,263 (4.7%)"
  Initial ventilator mode: pressure control,607 (2.6%),567 (1.4%),194 (0.5%),201 (3.1%),"1,262 (3.3%)","5,914 (27.1%)","1,589 (11.4%)",142 (10.5%),361 (2.0%),694 (2.6%),517 (1.1%),310 (0.6%),"12,358 (3.8%)"
  Initial ventilator mode: other,"1,678 (7.2%)",549 (1.3%),537 (1.5%),272 (4.2%),"1,178 (3.0%)","1,646 (7.5%)",239 (1.7%),,395 (2.1%),"2,887 (10.8%)","2,211 (4.6%)",844 (1.7%),"12,371 (3.8%)"
"  FiO2 (%), median [Q1, Q3]","0.3 [0.2, 0.4]","0.3 [0.2, 0.4]","0.4 [0.4, 0.5]","0.2 [0.2, 0.4]","0.3 [0.2, 0.4]","0.3 [0.2, 0.5]","0.3 [0.2, 0.4]","0.3 [0.2, 0.3]","0.4 [0.4, 0.4]","0.3 [0.2, 0.4]","0.3 [0.2, 0.4]","0.3 [0.2, 0.4]","0.3 [0.2, 0.5]"
"  PEEP (cmH2O), median [Q1, Q3]","6.0 [6.0, 6.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 6.0]","8.0 [8.0, 8.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.0]","5.0 [5.0, 5.1]","5.2 [5, 8]"
"  Respiratory rate (breaths/min), median [Q1, Q3]","16.0 [16.0, 18.0]","16.0 [16.0, 18.0]","16.0 [16.0, 17.0]","16.0 [16.0, 16.0]","16.0 [16.0, 16.0]","16.0 [14.0, 18.0]","16.0 [16.0, 16.0]","12.0 [0.0, 18.0]","15.0 [14.0, 16.0]","16.0 [14.0, 16.0]","16.0 [15.0, 16.0]","19.0 [17.0, 20.0]","16.3 [0, 20]"
"  Tidal volume (mL), median [Q1, Q3]","420.0 [402.5, 420.0]","420.0 [410.0, 430.0]","450.0 [450.0, 450.0]","430.0 [430.0, 440.0]","450.0 [450.0, 470.0]","450.0 [450.0, 475.0]","400.0 [400.0, 400.0]","400.0 [400.0, 400.0]","450.0 [420.0, 450.0]","450.0 [440.0, 450.0]","500.0 [480.0, 500.0]","450.0 [450.0, 450.0]","447.1 [400, 500]"
"Time to extubation (hrs), median [Q1, Q3]","29.7 [10.2, 79.9]","34.1 [11.6, 91.1]","42.0 [15.9, 113.7]","22.0 [7.8, 67.0]","34.2 [13.2, 88.9]","17.8 [6.7, 49.1]","22.8 [11.7, 63.7]","32.8 [6.4, 112.9]","40.4 [18.6, 88.9]","22.6 [11.0, 61.6]","35.4 [12.6, 92.5]","24.7 [9.5, 74.8]","30.8 [6.4, 113.7]"
  Terminal IMV outcome: discharged not on IMV,"13,876 (59.7%)","25,781 (61.8%)","22,332 (62.5%)","3,396 (52.3%)","21,823 (56.3%)","17,807 (81.7%)","8,996 (64.3%)",937 (69.0%),"9,607 (52.2%)","19,183 (71.7%)","27,846 (57.7%)","30,405 (61.6%)","201,989 (62.0%)"
