value,mimic_iv_probability,nu_probability,ucmc_probability
180.0,0.6345968519113395,0.5593694380879736,0.6505861332636075
181.0,,0.5601322145944572,0.651435917549135
182.0,,0.5611492499364353,0.6524164378785898
183.0,,0.562420544113908,0.6534187475486992
184.0,,0.5631833206203916,0.6545517932627358
185.0,,0.5634375794558861,0.6555758922734998
186.0,0.6346114534357387,0.5642003559623697,0.6565782019436092
187.0,,0.5647088736333588,0.6576240902950277
188.0,,0.5657259089753369,0.6587135573277553
189.0,,0.5659801678108314,0.6597812350198283
190.0,0.643167946733639,0.5669972031528095,0.6610885954591014
191.0,,0.5680142384947877,0.6620473264479017
192.0,,0.5682684973302822,0.6629842680960474
193.0,,0.5687770150012713,0.6640083671068113
194.0,,0.5695397915077549,0.664901730073648
195.0,,0.5703025680142385,0.6660129864470301
196.0,,0.5710653445207221,0.6669499280951758
197.0,,0.5713196033562167,0.668061184468558
198.0,,0.5715738621917111,0.6689327580947401
199.0,,0.5723366386981947,0.6698479104022312
200.0,0.6513448003971615,0.5733536740401729,0.671264217544777
201.0,,0.5738621917111619,0.6723318952368501
202.0,,0.5748792270531401,0.6731816795223776
203.0,,0.5751334858886347,0.6742929358957598
204.0,,0.5764047800661073,0.6752952455658692
205.0,,0.5769132977370963,0.6761014511700876
206.0,,0.5784388507500635,0.6768640780929969
207.0,,0.5797101449275363,0.6778445984224517
208.0,,0.5802186625985253,0.6788469080925611
209.0,,,0.6796531136967795
210.0,0.6582805244867564,,0.6808297380921253
211.0,,0.5804729214340199,0.6817884690809256
212.0,,0.5809814391050089,0.682790778751035
213.0,,0.5812356979405034,0.6837277203991807
214.0,,0.5817442156114925,0.6847082407286356
215.0,,0.5830155097889652,0.6852529742449993
216.0,,0.5847953216374269,0.6862117052337996
217.0,,0.585812356979405,0.6869089641347453
218.0,,0.5865751334858886,0.6875626443543819
219.0,,0.5873379099923722,0.6884995860025276
220.0,0.665187045527553,0.5875921688278668,0.6895236850132915
221.0,,0.5878464276633613,0.6904606266614373
222.0,,0.5886092041698449,0.6911796749030374
223.0,,0.5893719806763285,0.692029459188565
224.0,,0.5903890160183066,0.6929228221554016
225.0,,0.5906432748538012,0.6937072384189654
226.0,,0.5911517925247902,0.6945788120451475
227.0,,,0.6954503856713296
228.0,,0.5926773455377574,0.6961694339129298
229.0,,0.5939486397152302,0.69712816490173
230.0,0.6721957772391438,0.5944571573862192,0.698588050725585
231.0,,0.5949656750572082,0.6991327842419488
232.0,,0.5959827103991864,0.7000043578681309
233.0,,,0.7007016167690766
234.0,,0.597254004576659,0.7015296117139496
235.0,,0.5982710399186372,0.7022268706148952
236.0,,0.5990338164251208,0.7032945483069682
237.0,,0.5995423340961098,0.7039918072079139
238.0,,,0.7047762234714777
239.0,,0.6003051106025934,0.705538850394387
240.0,0.6780801915720002,0.6008136282735825,0.7063450559986055
241.0,,0.6020849224510552,0.7068244214930056
